,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
0,"((-1) + 2x) = (3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (-4))),TRUE,x = 3,(= (x) (3))
1,"(-1x + (-2)) = (-3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4))),TRUE,x = -1,(= (x) (-1))
2,"(+(-2))=(-3x+(-4))
",(= (+ (-2)) (+ (* (-3) (x)) (-4))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
3,"(-1x + 2) = (-3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (4))),TRUE,x = 1,(= (x) (1))
4,"(+2)=(-3x+4)
",(= (+ (2)) (+ (* (-3) (x)) (4))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
5,"(1x - 2) = -3x
",(= (- (* (1) (x)) (2)) (* (-3) (x))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
6,"1x=-3x
",(= (* (1) (x)) (* (-3) (x))),TRUE,x = 0,(= (x) (0))
7,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),TRUE,x = -1,(= (x) (-1))
8,1x=((-2)+3x),(= (* (1) (x)) (+ (-2) (* (3) (x)))),TRUE,x = 1,(= (x) (1))
9,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),TRUE,x = 1,(= (x) (1))
10,"(-1x + (-2)) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (-4) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
11,"(-1x+(-2))=(+-4x)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-4)) (x))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
12,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),TRUE,x = -2/7,(= (x) (/ (-2) (7)))
13,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
14,"(1x+(-2))=(+4x)
",(= (+ (* (1) (x)) (-2)) (+ (* (4)) (x))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
15,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),TRUE,x = -1/4,(= (x) (/ (-1) (4)))
16,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),TRUE,x = -2/9,(= (x) (/ (-2) (9)))
17,"(1x + (-2)) = (-3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (4))),TRUE,x = 3/2,(= (x) (/ (3) (2)))
18,"((-1x + 2) - 3) = -4x
",(= (- (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
19,"((+2)-3)=-4x
",(= (+ (2) (-3)) (* (-4) (x))),TRUE,x = 1/4,(= (x) (/ (1) (4)))
20,"(-1) = (2 + 3x)
",(= (-1) (+ (2) (* (3) (x)))),TRUE,x = -1,(= (x) (-1))
21,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),TRUE,x = 1,(= (x) (1))
22,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
23,"-1x = (2x + 3)
",(= (* (-1) (x)) (+ (* (2) (x)) (3))),TRUE,x = -1,(= (x) (-1))
24,"(1 + -2x) = (-3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),TRUE,x = -5,(= (x) (-5))
