,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
0,((x + 2x) + 5) = 8 ,(= (+ (+ (x) (* (2) (x))) (5)) (8)),True,x = 1,(= (x) (1))
1,(x+5)=8,(= (+ (x) (5)) (8)),True,x = 3,(= (x) (3))
2,(((4/x)+1)*x)=5,(= (* (+ (/ (4) (x)) (1)) (x)) (5)),True,x = 1,(= (x) (1))
3,((-1) - 2) = ((3 / x) - 4) ,(= (- (-1) (2)) (- (/ (3) (x)) (4))),True,x = 3,(= (x) (3))
4,((-1) - 2) = (((3 / x) + 5) - 9),(= (- (-1) (2)) (- (+ (/ (3) (x)) (5)) (9))),True,x = 3,(= (x) (3))
5,(2x - 5x) = ((2x - 1x) - 6),(= (- (* (2) (x)) (* (5) (x))) (- (- (* (2) (x)) (* (1) (x))) (6))),True,x = 3/2,(= (x) (/ (3) (2)))
6,(2x - 5) = ((2 + 1x) - 6x),(= (- (* (2) (x)) (5)) (- (+ (2) (* (1) (x))) (* (6) (x)))),True,x = 1,(= (x) (1))
7,(2 - 5) = ((2 - 1x) + 6),(= (- (2) (5)) (+ (- (2) (* (1) (x))) (6))),True,x = 11,(= (x) (1) (1))
8,(2 + 5x) = ((2 - 1x) + 6),(= (+ (2) (* (5) (x))) (+ (- (2) (* (1) (x))) (6))),True,x = 1,(= (x) (1))
9,(2x - 5x) = ((2 - 1x) + 6),(= (- (* (2) (x)) (* (5) (x))) (+ (- (2) (* (1) (x))) (6))),True,x = -4,(= (x) (-4))
10,(2 + 5x) = ((2x - 1x) - 6x),(= (+ (2) (* (5) (x))) (- (- (* (2) (x)) (* (1) (x))) (* (6) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
11,(2 - 5) = ((2x - 1) + 6x),(= (- (2) (5)) (+ (- (* (2) (x)) (1)) (* (6) (x)))),True,x = -1/4,(= (x) (/ (-1) (4)))
12,(2x - 5x) = ((2 + 1x) + 6x),(= (- (* (2) (x)) (* (5) (x))) (+ (+ (2) (* (1) (x))) (* (6) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
13,2x=((2+1x)+6x),(= (* (2) (x)) (+ (+ (2) (* (1) (x))) (* (6) (x)))),True,x = -2/5,(= (x) (/ (-2) (5)))
14,((4 - 1x) - 2x) = ((-6x + 2) + 1x),(= (- (- (4) (* (1) (x))) (* (2) (x))) (+ (+ (* (-6) (x)) (2)) (* (1) (x)))),True,x = -1,(= (x) (-1))
15,((4x - 1x) - 2x) = ((-6x - 2) + 1x),(= (- (- (* (4) (x)) (* (1) (x))) (* (2) (x))) (+ (- (* (-6) (x)) (2)) (* (1) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
16,((4 + 1x) - 2) = ((-6 - 2x) - 1x),(= (- (+ (4) (* (1) (x))) (2)) (- (- (-6) (* (2) (x))) (* (1) (x)))),True,x = -2,(= (x) (-2))
17,((4 + 1x) - 2x) = ((-6 + 2) + 1),(= (- (+ (4) (* (1) (x))) (* (2) (x))) (+ (+ (-6) (2)) (1))),True,x = 7,(= (x) (7))
18,((4 - 1x) - 2x) = ((-6 + 2x) + 1x),(= (- (- (4) (* (1) (x))) (* (2) (x))) (+ (+ (-6) (* (2) (x))) (* (1) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
19,((4 + 1x) - 2x) = ((-6 + 2) + 1x),(= (- (+ (4) (* (1) (x))) (* (2) (x))) (+ (+ (-6) (2)) (* (1) (x)))),True,x = 4,(= (x) (4))
20,((4 + 1) + 2) = ((-2 - 2x) - 1x),(= (+ (+ (4) (1)) (2)) (- (- (-2) (* (2) (x))) (* (1) (x)))),True,x = -3,(= (x) (-3))
21,((4x + 1) - 2x) = ((-6x - 2) - 1x),(= (- (+ (* (4) (x)) (1)) (* (2) (x))) (- (- (* (-6) (x)) (2)) (* (1) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
22,((4x - 1) + 2) = ((-6x - 2x) - 1),(= (+ (- (* (4) (x)) (1)) (2)) (- (- (* (-6) (x)) (* (2) (x))) (1))),True,x = -1/6,(= (x) (/ (-1) (6)))
23,((4x + 1x) + 2x) = ((-6x - 2) - 1x),(= (+ (+ (* (4) (x)) (* (1) (x))) (* (2) (x))) (- (- (* (-6) (x)) (2)) (* (1) (x)))),True,x = -1/7,(= (x) (/ (-1) (7)))
24,((4x + 1) + 2) = ((-1 - 2) + 1x),(= (+ (+ (* (4) (x)) (1)) (2)) (+ (- (-1) (2)) (* (1) (x)))),True,x = -2,(= (x) (-2))
25, 8 =((x + 2x) + 5) ,(= (8) (+ (+ (x) (* (2) (x))) (5))),True,x = 1,(= (x) (1))
26,8=(x+5),(= (8) (+ (x) (5))),True,x = 3,(= (x) (3))
27,5=(((4/x)+1)*x),(= (5) (* (+ (/ (4) (x)) (1)) (x))),True,x = 1,(= (x) (1))
28, ((3 / x) - 4) =((-1) - 2) ,(= (- (/ (3) (x)) (4)) (- (-1) (2))),True,x = 3,(= (x) (3))
29, (((3 / x) + 5) - 9)=((-1) - 2) ,(= (- (+ (/ (3) (x)) (5)) (9)) (- (-1) (2))),True,x = 3,(= (x) (3))
30, ((2x - 1x) - 6)=(2x - 5x) ,(= (- (- (* (2) (x)) (* (1) (x))) (6)) (- (* (2) (x)) (* (5) (x)))),True,x = 3/2,(= (x) (/ (3) (2)))
31, ((2 + 1x) - 6x)=(2x - 5) ,(= (- (+ (2) (* (1) (x))) (* (6) (x))) (- (* (2) (x)) (5))),True,x = 1,(= (x) (1))
32, ((2 - 1x) + 6)=(2 - 5) ,(= (+ (- (2) (* (1) (x))) (6)) (- (2) (5))),True,x = 11,(= (x) (1) (1))
33, ((2 - 1x) + 6)=(2 + 5x) ,(= (+ (- (2) (* (1) (x))) (6)) (+ (2) (* (5) (x)))),True,x = 1,(= (x) (1))
34, ((2 - 1x) + 6)=(2x - 5x) ,(= (+ (- (2) (* (1) (x))) (6)) (- (* (2) (x)) (* (5) (x)))),True,x = -4,(= (x) (-4))
35, ((2x - 1x) - 6x)=(2 + 5x) ,(= (- (- (* (2) (x)) (* (1) (x))) (* (6) (x))) (+ (2) (* (5) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
36, ((2x - 1) + 6x)=(2 - 5) ,(= (+ (- (* (2) (x)) (1)) (* (6) (x))) (- (2) (5))),True,x = -1/4,(= (x) (/ (-1) (4)))
37, ((2 + 1x) + 6x)=(2x - 5x) ,(= (+ (+ (2) (* (1) (x))) (* (6) (x))) (- (* (2) (x)) (* (5) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
38, ((-6x + 2) + 1x)=((4 - 1x) - 2x) ,(= (+ (+ (* (-6) (x)) (2)) (* (1) (x))) (- (- (4) (* (1) (x))) (* (2) (x)))),True,x = -1,(= (x) (-1))
39, ((-6x - 2) - 1)=((4x - 1) + 2) ,(= (- (- (* (-6) (x)) (2)) (1)) (+ (- (* (4) (x)) (1)) (2))),True,x = -2/5,(= (x) (/ (-2) (5)))
40, ((-6x - 2) + 1x)=((4x - 1x) - 2x) ,(= (+ (- (* (-6) (x)) (2)) (* (1) (x))) (- (- (* (4) (x)) (* (1) (x))) (* (2) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
