,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
0,"(1 / 2) = x
",(= (/ (1) (2)) (x)),True,x = 1/2,(= (x) (/ (1) (2)))
1,"(((-1) / x) * x) = -2x
",(= (* (/ (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
2,"((-1)*x)=-2x
",(= (* (-1) (x)) (* (-2) (x))),True,x = 0,(= (x) (0))
3,"((-1) + 2x) = (3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3))
4,"(+2x)=(3x+(-4))
",(= (+ (* (2)) (x)) (+ (* (3) (x)) (-4))),True,x = 4,(= (x) (4))
5,"(-1x + (-2)) = (-3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
6,"(-1x + 2) = (-3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1))
7,"-1x=(-3x+4)
",(= (* (-1) (x)) (+ (* (-3) (x)) (4))),True,x = 2,(= (x) (2))
8,"(1x - 2) = -3x
",(= (- (* (1) (x)) (2)) (* (-3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
9,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1,(= (x) (-1))
10,"1x=((-2)+4)
",(= (* (1) (x)) (+ (-2) (4))),True,x = 2,(= (x) (2))
11,"(-1) = ((-2) + ((-3) / x))
",(= (-1) (+ (-2) (/ (-3) (x)))),True,x = -3,(= (x) (-3))
12,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),True,x = 1,(= (x) (1))
13,"((-(2/x))*x)=-3x
",(= (* (/ (2) (x)) (x)) (* (-3) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
14,"(-1x / x) = -2x
",(= (/ (* (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
15,"-1x=-2x
",(= (* (-1) (x)) (* (-2) (x))),True,x = 0,(= (x) (0))
16,"(-1x + (-2)) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
17,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),True,x = -2/7,(= (x) (/ (-2) (7)))
18,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
