,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
0,"(((-1) / x) * x) = -2x
",(= (* (/ (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
1,"((-1) + 2x) = (3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3))
2,"(-1)=(3x+(-4))
",(= (-1) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
3,"(-1x + (-2)) = (-3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
4,"(-1x + 2) = (-3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1))
5,(-1x+2)=-3x,(= (+ (* (-1) (x)) (2)) (* (-3) (x))),True,x = -1,(= (x) (-1))
6,"(1x - 2) = -3x
",(= (- (* (1) (x)) (2)) (* (-3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
7,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1,(= (x) (-1))
8,"1x=((-2)+4)
",(= (* (1) (x)) (+ (-2) (4))),True,x = 2,(= (x) (2))
9,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),True,x = 1,(= (x) (1))
10,"((-(2/x))*x)=-3x
",(= (* (/ (2) (x)) (x)) (* (-3) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
11,"(-1x / x) = -2x
",(= (/ (* (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
12,"(-1x + (-2)) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
13,"(-1x+(-2))=(+-4x)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-4)) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
14,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),True,x = -2/7,(= (x) (/ (-2) (7)))
15,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
16,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),True,x = -1/4,(= (x) (/ (-1) (4)))
17,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),True,x = -2/9,(= (x) (/ (-2) (9)))
18,"((1 / x) + 2) = (-3)
",(= (+ (/ (1) (x)) (2)) (-3)),True,x = -1/5,(= (x) (/ (-1) (5)))
