Unnamed: 0,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
150,"((1 + 2x) - 3) = 4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (4) (x))),True,x = -1,(= (x) (-1))
174,"(1 - 2) = -3x
",(= (- (1) (2)) (* (-3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
74,"(-1x + 2) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
189,"(-1) = (-2x + (-3))
",(= (-1) (+ (* (-2) (x)) (-3))),True,x = -1,(= (x) (-1))
119,"(-1x + 2) = 3x
",(= (+ (* (-1) (x)) (2)) (* (3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
87,"1x = (2x / x)
",(= (* (1) (x)) (/ (* (2) (x)) (x))),True,x = 2,(= (x) (2))
192,"((1x + 2) + 3x) = 4
",(= (+ (+ (* (1) (x)) (2)) (* (3) (x))) (4)),True,x = 1/2,(= (x) (/ (1) (2)))
91,"1 = ((2 / x) + (-3))
",(= (1) (+ (/ (2) (x)) (-3))),True,x = 1/2,(= (x) (/ (1) (2)))
73,"(-1x + (-2)) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
204,"(1x + (-2)) = (3 + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
147,"((-1) - 2x) = -3x
",(= (- (-1) (* (2) (x))) (* (-3) (x))),True,x = 1,(= (x) (1))
213,"(-1) = ((2x - 3) + 4x)
",(= (-1) (+ (- (* (2) (x)) (3)) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
200,"(1 + 2x) = (-3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
255,"((-1) / (-2)) = x
",(= (/ (-1) (-2)) (x)),True,x = 1/2,(= (x) (/ (1) (2)))
117,"((-1) - 2) = (((3 / x) + 4) - 5)
",(= (- (-1) (2)) (- (+ (/ (3) (x)) (4)) (5))),True,x = -3/2,(= (x) (/ (-3) (2)))
1,"(((-1) / x) * x) = -2x
",(= (* (/ (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
178,"(-1x + (-2)) = (3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3/2,(= (x) (/ (-3) (2)))
19,"(-1) = (2 + 3x)
",(= (-1) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1))
99,"(-1) = ((-2) + (3 / x))
",(= (-1) (+ (-2) (/ (3) (x)))),True,x = 3,(= (x) (3))
247,"(-1x - 2x) = ((-3) + 4)
",(= (- (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),True,x = -1/3,(= (x) (/ (-1) (3)))
123,"(-1) = ((-2) + 3x)
",(= (-1) (+ (-2) (* (3) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
13,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),True,x = -1/4,(= (x) (/ (-1) (4)))
265,"(1x - 2) = (-3)
",(= (- (* (1) (x)) (2)) (-3)),True,x = -1,(= (x) (-1))
126,"(1x + 2) = (-3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
273,"x = ((-1) / 2)
",(= (x) (/ (-1) (2))),True,x = -1/2,(= (x) (/ (-1) (2)))
115,"((-1) + 2x) = (-3)
",(= (+ (-1) (* (2) (x))) (-3)),True,x = -1,(= (x) (-1))
77,"(-1) = (-2x / (-3))
",(= (-1) (/ (* (-2) (x)) (-3))),True,x = -3/2,(= (x) (/ (-3) (2)))
151,"((-1) + -2x) = (3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (-4))),True,x = 3/5,(= (x) (/ (3) (5)))
222,"((-1) - 2x) = (-3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3))
122,"-1x = (((-2) + 3x) + 4)
",(= (* (-1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1/2,(= (x) (/ (-1) (2)))
104,"1 = (((-2) / x) + 3)
",(= (1) (+ (/ (-2) (x)) (3))),True,x = 1,(= (x) (1))
154,"(-1x / (-2)) = (3 / (-4))
",(= (/ (* (-1) (x)) (-2)) (/ (3) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
241,"(1 + 2x) = ((-3) + -4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
249,"(1 + -2x) = (3 + -4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
159,"-1x = (2x - 3)
",(= (* (-1) (x)) (- (* (2) (x)) (3))),True,x = 1,(= (x) (1))
267,"(((-1) - 2x) - 3) = 4x
",(= (- (- (-1) (* (2) (x))) (3)) (* (4) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
48,"(-1x + 2) = (3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3/2,(= (x) (/ (3) (2)))
92,"(-1x + 2) = (3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1/2,(= (x) (/ (-1) (2)))
111,"-1x = (2 + 3)
",(= (* (-1) (x)) (+ (2) (3))),True,x = -5,(= (x) (-5))
84,"((1 - (2 / x)) - 3) = (4 - 5)
",(= (- (- (1) (/ (2) (x))) (3)) (- (4) (5))),True,x = -2,(= (x) (-2))
11,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),True,x = -2/7,(= (x) (/ (-2) (7)))
28,"(-1x + 2x) = (-3)
",(= (+ (* (-1) (x)) (* (2) (x))) (-3)),True,x = -3,(= (x) (-3))
8,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),True,x = 1,(= (x) (1))
12,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
271,"x = ((-1) / (-2))
",(= (x) (/ (-1) (-2))),True,x = 1/2,(= (x) (/ (1) (2)))
248,"((-1x + 2) + 3) = -4x
",(= (+ (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = -5/3,(= (x) (/ (-5) (3)))
199,"((-1) + 2) = (3 / x)
",(= (+ (-1) (2)) (/ (3) (x))),True,x = 3,(= (x) (3))
3,"(-1x + (-2)) = (-3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
129,"1 = (2x - 3x)
",(= (1) (- (* (2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1))
41,"(1 + 2x) = (3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
156,"(1 + 2x) = ((-3) + 4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (4) (x)))),True,x = 2,(= (x) (2))
262,"(1x - 2) = (3x - 4)
",(= (- (* (1) (x)) (2)) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
108,"(-1x + 2) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
103,"((-1) - 2) = (3x - 4x)
",(= (- (-1) (2)) (- (* (3) (x)) (* (4) (x)))),True,x = 3,(= (x) (3))
259,"(-1x - 2) = 3x
",(= (- (* (-1) (x)) (2)) (* (3) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
252,"(1x + (-2)) = (3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
188,"((-1) + -2x) = ((-3) + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
245,"(-1x + 2) = (-3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3))
234,"(-1) = (((-2) - 3x) + 4x)
",(= (-1) (+ (- (-2) (* (3) (x))) (* (4) (x)))),True,x = 1,(= (x) (1))
142,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (- (+ (-4) (* (5) (x))) (* (6) (x)))),True,x = 2,(= (x) (2))
56,"((-1) + -2x) = (3 + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 2,(= (x) (2))
76,"((-1) - 2x) = (-3)
",(= (- (-1) (* (2) (x))) (-3)),True,x = 1,(= (x) (1))
187,"1x = (2 - 3)
",(= (* (1) (x)) (- (2) (3))),True,x = -1,(= (x) (-1))
93,"(1x - -2x) = (-3)
",(= (- (* (1) (x)) (* (-2) (x))) (-3)),True,x = -1,(= (x) (-1))
242,"1x = (-2x + 3)
",(= (* (1) (x)) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1))
221,"(1 + (2 / x)) = (-3)
",(= (+ (1) (/ (2) (x))) (-3)),True,x = -1/2,(= (x) (/ (-1) (2)))
5,"(1x - 2) = -3x
",(= (- (* (1) (x)) (2)) (* (-3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
177,"(1x / x) = 2x
",(= (/ (* (1) (x)) (x)) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
253,"-1x = 2
",(= (* (-1) (x)) (2)),True,x = -2,(= (x) (-2))
240,"((1 + 2x) + 3x) = 4
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (4)),True,x = 3/5,(= (x) (/ (3) (5)))
0,"(1 / 2) = x
",(= (/ (1) (2)) (x)),True,x = 1/2,(= (x) (/ (1) (2)))
145,"((1 / x) + (-2)) = (-3)
",(= (+ (/ (1) (x)) (-2)) (-3)),True,x = -1,(= (x) (-1))
279,"1x = ((2x - 3) - 4)
",(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7,(= (x) (7))
207,"(-1) = (-2x - 3)
",(= (-1) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1))
82,"(-1) = x
",(= (-1) (x)),True,x = -1,(= (x) (-1))
38,"1 = (2 + (3 / x))
",(= (1) (+ (2) (/ (3) (x)))),True,x = -3,(= (x) (-3))
162,"(1x + (-2)) = (3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
251,"((-1) + 2x) = (3 + -4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (-4) (x)))),True,x = 2/3,(= (x) (/ (2) (3)))
141,"(((-1) - 2x) + 3) = -4x
",(= (+ (- (-1) (* (2) (x))) (3)) (* (-4) (x))),True,x = -1,(= (x) (-1))
25,"(1 + -2x) = (-3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -5,(= (x) (-5))
175,"(1 + 2x) = -3x
",(= (+ (1) (* (2) (x))) (* (-3) (x))),True,x = -1/5,(= (x) (/ (-1) (5)))
239,"(-1) = (2 + (3 / x))
",(= (-1) (+ (2) (/ (3) (x)))),True,x = -1,(= (x) (-1))
149,"((-1) + ((-2) / x)) = (-3)
",(= (+ (-1) (/ (-2) (x))) (-3)),True,x = 1,(= (x) (1))
53,"1 = -2x
",(= (1) (* (-2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
67,"-1x = -2x
",(= (* (-1) (x)) (* (-2) (x))),True,x = 0,(= (x) (0))
110,"((-1) + -2x) = (3 + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
31,"((-1) + -2x) = (-3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3))
63,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),True,x = -3,(= (x) (-3))
182,"(1 + -2x) = (3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (4))),True,x = -3/5,(= (x) (/ (-3) (5)))
158,"(-1) = (((-2) / x) + 3)
",(= (-1) (+ (/ (-2) (x)) (3))),True,x = 1/2,(= (x) (/ (1) (2)))
27,"((-1) + (2 / x)) = 3
",(= (+ (-1) (/ (2) (x))) (3)),True,x = 1/2,(= (x) (/ (1) (2)))
128,"(-1x + 2) = (3 + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
70,"(-1x - 2) = (3 + 4x)
",(= (- (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
254,"(-1x + (-2)) = (-3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3))
