,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
0,"(1 / 2) = x
",(= (/ (1) (2)) (x)),TRUE,x = 1/2,(= (x) (/ (1) (2)))
1,"(((-1) / x) * x) = -2x
",(= (* (/ (-1) (x)) (x)) (* (-2) (x))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
2,"((-1) + 2x) = (3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (-4))),TRUE,x = 3,(= (x) (3))
3,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),TRUE,x = -1,(= (x) (-1))
4,"(-1) = ((-2) + ((-3) / x))
",(= (-1) (+ (-2) (/ (-3) (x)))),TRUE,x = -3,(= (x) (-3))
5,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),TRUE,x = 1,(= (x) (1))
6,"(-1x / x) = -2x
",(= (/ (* (-1) (x)) (x)) (* (-2) (x))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
7,"(-1x + (-2)) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (-4) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
8,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),TRUE,x = -2/7,(= (x) (/ (-2) (7)))
9,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
10,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),TRUE,x = -1/4,(= (x) (/ (-1) (4)))
11,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),TRUE,x = -2/9,(= (x) (/ (-2) (9)))
12,"((1 / x) + 2) = (-3)
",(= (+ (/ (1) (x)) (2)) (-3)),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
13,"(-1) = ((2 / x) + 3)
",(= (-1) (+ (/ (2) (x)) (3))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
14,"(1x + (-2)) = (-3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (4))),TRUE,x = 3/2,(= (x) (/ (3) (2)))
15,"((-1x + 2) - 3) = -4x
",(= (- (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
