,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
0,"(1x - 2) = -3x
",(= (- (* (1) (x)) (2)) (* (-3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
1,"1x=-3x
",(= (* (1) (x)) (* (-3) (x))),True,x = 0,(= (x) (0))
2,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1,(= (x) (-1))
3,"1x=((+3x)+4)
",(= (* (1) (x)) (+ (+ (* (3)) (x)) (4))),True,x = -2,(= (x) (-2))
4,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),True,x = 1,(= (x) (1))
5,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),True,x = -2/7,(= (x) (/ (-2) (7)))
6,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
7,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),True,x = -1/4,(= (x) (/ (-1) (4)))
8,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),True,x = -2/9,(= (x) (/ (-2) (9)))
9,"(1x + (-2)) = (-3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3/2,(= (x) (/ (3) (2)))
10,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
11,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
12,"(1 - (-2)) = (((3 / x) + (-4)) - (-5))
",(= (- (1) (-2)) (- (+ (/ (3) (x)) (-4)) (-5))),True,x = 3/2,(= (x) (/ (3) (2)))
13,"((-1) - 2x) = (3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
14,"((1x - 2) + 3) = ((4x - 5) + 6)
",(= (+ (- (* (1) (x)) (2)) (3)) (+ (- (* (4) (x)) (5)) (6))),True,x = 0,(= (x) (0))
15,"1 = ((2 - 3x) - 4x)
",(= (1) (- (- (2) (* (3) (x))) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7)))
16,"x = (-1x + 2)
",(= (x) (+ (* (-1) (x)) (2))),True,x = 1,(= (x) (1))
17,"x=(+2)
",(= (x) (+ (2))),True,x = 2,(= (x) (2))
