((-1+x)+-7)=-8x,x=8/9,(= (+ (+ (-1) (x)) (-7)) (* (-8) (x))),(= (x) (/ (8) (9)))
((3+-1x)+-7)=-3x,x=2,(= (+ (+ (3) (* (-1) (x))) (-7)) (* (-3) (x))),(= (x) (2))
(-5+5x)=(2x+-6),x=-1/3,(= (+ (-5) (* (5) (x))) (+ (* (2) (x)) (-6))),(= (x) (/ (-1) (3)))
(9+4x)=(-9x+6),x=-3/13,(= (+ (9) (* (4) (x))) (+ (* (-9) (x)) (6))),(= (x) (/ (-3) (13)))
-5x=8,x=-8/5,(= (* (-5) (x)) (8)),(= (x) (/ (-8) (5)))
5x=8,x=8/5,(= (* (5) (x)) (8)),(= (x) (/ (8) (5)))
(2x+-3x)=6,x=-6,(= (+ (* (2) (x)) (* (-3) (x))) (6)),(= (x) (-6))
(6x+-3x)=-5,x=-5/3,(= (+ (* (6) (x)) (* (-3) (x))) (-5)),(= (x) (/ (-5) (3)))
7=(-4+(3/x)),x=3/11,(= (7) (+ (-4) (/ (3) (x)))),(= (x) (/ (3) (11)))
9=(6+(4/x)),x=4/3,(= (9) (+ (6) (/ (4) (x)))),(= (x) (/ (4) (3)))
(0+3)=((-9x+-7)+0),x=-10/9,(= (+ (0) (3)) (+ (+ (* (-9) (x)) (-7)) (0))),(= (x) (/ (-10) (9)))
(-1+4)=((-2x+4)+7),x=4,(= (+ (-1) (4)) (+ (+ (* (-2) (x)) (4)) (7))),(= (x) (4))
(-2x/2)=(-5/8),x=5/8,(= (/ (* (-2) (x)) (2)) (/ (-5) (8))),(= (x) (/ (5) (8)))
(5x/9)=(-8/3),x=-24/5,(= (/ (* (5) (x)) (9)) (/ (-8) (3))),(= (x) (/ (-24) (5)))
x=(6-1)/-7,x=-5/7,(= (x) (/ (- (6) (1)) (-7))),(= (x) (/ (-5) (7)))
x=(2-0)/-5,x=-2/5,(= (x) (/ (- (2) (0)) (-5))),(= (x) (/ (-2) (5)))
3x=((8-8x)+2),x=10/11,(= (* (3) (x)) (+ (- (8) (* (8) (x))) (2))),(= (x) (/ (10) (11)))
3x=((0-8x)+-2),x=-2/11,(= (* (3) (x)) (+ (- (0) (* (8) (x))) (-2))),(= (x) (/ (-2) (11)))
(-4/x)*x=3,x=-4/3,(= (* (/ (-4) (x)) (x)) (3)),(= (x) (/ (-4) (3)))
(-1/x)*x=4,x=-1/4,(= (* (/ (-1) (x)) (x)) (4)),(= (x) (/ (-1) (4)))
(-2x+5)=-8,x=13/2,(= (+ (* (-2) (x)) (5)) (-8)),(= (x) (/ (13) (2)))
(x+-6)=8,x=14,(= (+ (x) (-6)) (8)),(= (x) (14))
